Movie_Title,Genre,Rating,Votes,Popularity_Score,Region,Gross_Proxy
Kidnapped: Elizabeth Smart,Documentary,6.7,2600.0,17420.0,Bollywood,17420.0
The Moment,Documentary,5.4,128.0,691.2,Bollywood,691.2
Free Solo,Documentary,8.1,85000.0,688500.0,Bollywood,688500.0
The Perfect Neighbor,Documentary,7.1,22000.0,156200.0,Bollywood,156200.0
Mr. Nobody Against Putin,Documentary,7.6,2500.0,19000.0,Bollywood,19000.0
Secret Mall Apartment,Documentary,7.1,1700.0,12070.0,Bollywood,12070.0
Encounters at the End of the World,Documentary,7.7,20000.0,154000.0,Bollywood,154000.0
The Alabama Solution,Documentary,7.9,2700.0,21330.0,Bollywood,21330.0
Come See Me in the Good Light,Documentary,7.7,1400.0,10780.0,Bollywood,10780.0
Cover-Up,Documentary,7.5,2600.0,19500.0,Bollywood,19500.0
The Age of Disclosure,Documentary,6.8,4000.0,27200.0,Bollywood,27200.0
Cutting Through Rocks,Documentary,7.6,259.0,1968.3999999999999,Bollywood,1968.3999999999999
Song Sung Blue,Documentary,7.4,305.0,2257.0,Bollywood,2257.0
Disneyland Handcrafted,Documentary,8.0,281.0,2248.0,Bollywood,2248.0
The Smashing Machine,Documentary,7.6,2500.0,19000.0,Bollywood,19000.0
Evil Influencer: The Jodi Hildebrandt Story,Documentary,6.1,3100.0,18910.0,Bollywood,18910.0
The History of Concrete,Documentary,7.1,12.0,85.19999999999999,Bollywood,85.19999999999999
2000 Meters to Andriivka,Documentary,8.4,2700.0,22680.0,Bollywood,22680.0
Viva Verdi!,Documentary,6.8,68.0,462.4,Bollywood,462.4
One Last Adventure: The Making of Stranger Things 5,Documentary,7.2,2800.0,20160.0,Bollywood,20160.0
Diane Warren: Relentless,Documentary,6.6,335.0,2211.0,Bollywood,2211.0
The Alpinist,Documentary,7.9,17000.0,134300.0,Bollywood,134300.0
The Lake,Documentary,8.5,9.0,76.5,Bollywood,76.5
EPiC: Elvis Presley in Concert,Documentary,8.1,138.0,1117.8,Bollywood,1117.8
Orwell: 2+2=5,Documentary,6.8,914.0,6215.2,Bollywood,6215.2
No Other Land,Documentary,8.2,33000.0,270600.0,Bollywood,270600.0
John Candy: I Like Me,Documentary,8.0,11000.0,88000.0,Bollywood,88000.0
Murder in Monaco,Documentary,6.5,2800.0,18200.0,Bollywood,18200.0
Grizzly Man,Documentary,7.7,67000.0,515900.0,Bollywood,515900.0
Predators,Documentary,6.6,2200.0,14520.0,Bollywood,14520.0
The Thinking Game,Documentary,7.7,1400.0,10780.0,Bollywood,10780.0
"It's Never Over, Jeff Buckley",Documentary,7.7,2000.0,15400.0,Bollywood,15400.0
Standout: The Ben Kjar Story,Documentary,9.4,56.0,526.4,Bollywood,526.4
Dear Zachary: A Letter to a Son About His Father,Documentary,8.5,45000.0,382500.0,Bollywood,382500.0
Queen of Chess,Documentary,7.8,7.0,54.6,Bollywood,54.6
White Man Walking,Documentary,6.3,118.0,743.4,Bollywood,743.4
The Act of Killing,Documentary,8.2,44000.0,360799.99999999994,Bollywood,360799.99999999994
Becoming Led Zeppelin,Documentary,7.5,8000.0,60000.0,Bollywood,60000.0
I'm Chevy Chase and You're Not,Documentary,6.9,1200.0,8280.0,Bollywood,8280.0
20 Days in Mariupol,Documentary,8.6,43000.0,369800.0,Bollywood,369800.0
Antiheroine,Documentary,6.8,6.0,40.8,Bollywood,40.8
Inside Job,Documentary,8.2,82000.0,672399.9999999999,Bollywood,672399.9999999999
Fiume o morte!,Documentary,8.1,1000.0,8100.0,Bollywood,8100.0
The Tale of Silyan,Documentary,7.4,547.0,4047.8,Bollywood,4047.8
The AI Doc: Or How I Became an Apocaloptimist,Documentary,8.3,6.0,49.800000000000004,Bollywood,49.800000000000004
My Octopus Teacher,Documentary,8.1,70000.0,567000.0,Bollywood,567000.0
The Dawn Wall,Documentary,8.1,22000.0,178200.0,Bollywood,178200.0
They Shall Not Grow Old,Documentary,8.2,40000.0,328000.0,Bollywood,328000.0
